<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTU,D,20180321,000000,41.928,44.171,39.905,43.658,16236,0
NTU,D,20180322,000000,43.658,44.883,42.86,42.86,6349,0
NTU,D,20180323,000000,42.898,42.898,39.097,41.425,1329,0
NTU,D,20180326,000000,41.33,43.23,41.33,42.194,1785,0
NTU,D,20180327,000000,42.936,42.936,42.375,42.746,8,0
NTU,D,20180328,000000,42.746,42.746,41.52,42.375,289,0
NTU,D,20180329,000000,41.757,41.757,41.748,41.757,264,0
NTU,D,20180403,000000,41.71,41.814,41.71,41.814,2183,0
NTU,D,20180404,000000,41.862,42.508,41.862,42.508,5519,0
NTU,D,20180405,000000,41.957,42.65,41.957,42.118,213,0
NTU,D,20180406,000000,42.109,42.565,41.71,41.71,2605,0
NTU,D,20180409,000000,41.33,42.09,41.045,41.045,280,0
NTU,D,20180410,000000,41.14,42.356,41.14,42.356,310,0
NTU,D,20180411,000000,42.365,42.422,42.365,42.422,139,0
NTU,D,20180412,000000,42.498,42.508,42.28,42.28,724,0
NTU,D,20180413,000000,42.09,42.099,42.09,42.09,2529,0
NTU,D,20180416,000000,42.746,42.803,42.565,42.565,5235,0
NTU,D,20180418,000000,42.356,43.126,42.346,43.126,177,0
NTU,D,20180420,000000,42.755,42.812,42.755,42.812,1004,0
NTU,D,20180424,000000,42.774,42.869,42.755,42.755,1604,0
NTU,D,20180426,000000,42.109,42.166,41.71,42.166,10336,0
NTU,D,20180427,000000,41.805,41.805,41.805,41.805,1,0
NTU,D,20180430,000000,41.349,42.441,41.349,42.441,64,0
NTU,D,20180504,000000,42.213,42.213,42.213,42.213,737,0
NTU,D,20180507,000000,42.213,42.213,42.213,42.213,1205,0
NTU,D,20180508,000000,42.213,42.213,41.52,41.52,12121,0
NTU,D,20180509,000000,42.66,43.23,42.28,42.755,3816,0
NTU,D,20180510,000000,42.28,42.28,41.805,41.805,3496,0
NTU,D,20180511,000000,42.755,42.755,41.805,42.004,28435,0
