<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMT,D,20210317,000000,16.6,16.98,12.5,13.55,831848,0
GMT,D,20210318,000000,14.1,15.6,14,15.17,397656,0
GMT,D,20210319,000000,15.3,20.6,15.1,19.69,915539,0
GMT,D,20210322,000000,20.6,23.9,18.36,19.02,688829,0
GMT,D,20210323,000000,20,21.6,18.59,19,248344,0
GMT,D,20210324,000000,19,19,17.02,17.5,139949,0
GMT,D,20210325,000000,17.748,19.4,16.2,17,308540,0
GMT,D,20210326,000000,17.11,17.448,16.8,17.08,56772,0
GMT,D,20210329,000000,17.08,17.89,16.22,16.602,90740,0
GMT,D,20210330,000000,16.9,16.92,16.1,16.1,46638,0
GMT,D,20210331,000000,16.198,17.1,15.522,15.86,108910,0
GMT,D,20210401,000000,16,16.002,13.81,14.65,125643,0
GMT,D,20210406,000000,14.652,16.74,14.65,16.398,80810,0
GMT,D,20210407,000000,16.686,16.74,15.5,16.4,39193,0
GMT,D,20210408,000000,16.498,16.498,15.65,16.1,21403,0
GMT,D,20210409,000000,16.378,18.1,15.6,17.598,132973,0
GMT,D,20210412,000000,17.778,17.778,16.502,16.96,56784,0
GMT,D,20210413,000000,16.96,17.2,16.14,16.14,25465,0
GMT,D,20210414,000000,15.802,16.798,15.71,15.8,36288,0
GMT,D,20210415,000000,16.188,16.188,15.52,15.7,15419,0
GMT,D,20210416,000000,15.7,16,15.13,16,17589,0
GMT,D,20210419,000000,16,16,15.1,15.1,24945,0
GMT,D,20210420,000000,15.18,15.18,14.32,14.9,27321,0
GMT,D,20210421,000000,14.99,14.99,14.15,14.3,32063,0
GMT,D,20210422,000000,14.3,14.968,13.95,14.28,69919,0
GMT,D,20210423,000000,14.2,14.3,13.22,13.47,67728,0
GMT,D,20210426,000000,13.11,13.7,13.11,13.3,27069,0
GMT,D,20210427,000000,13.4,13.6,13.3,13.5,15520,0
GMT,D,20210428,000000,13.51,13.51,12.78,12.9,43696,0
GMT,D,20210429,000000,12.89,14,12.602,13.6,62132,0
GMT,D,20210430,000000,13.5,14.418,13.14,13.2,63676,0
GMT,D,20210504,000000,13.95,13.95,12.92,13.15,15847,0
GMT,D,20210505,000000,13.15,13.15,12.52,12.85,14108,0
GMT,D,20210506,000000,12.85,12.85,12.16,12.3,32963,0
GMT,D,20210507,000000,12.3,13,12.01,12.56,36817,0
GMT,D,20210510,000000,12.98,14.2,12.51,13.92,40430,0
GMT,D,20210511,000000,13.99,14.62,13.65,14,17686,0
GMT,D,20210512,000000,13.41,14,13.06,13.1,21785,0
GMT,D,20210513,000000,13.56,13.56,12.7,13.19,16577,0
GMT,D,20210514,000000,13.4,13.4,12.61,12.8,16553,0
GMT,D,20210517,000000,13,15.58,12.98,15.55,135884,0
GMT,D,20210518,000000,15.98,16,14.32,15.6,107470,0
GMT,D,20210519,000000,15.8,15.97,14.4,14.4,36566,0
GMT,D,20210520,000000,14.6,15,14.12,14.698,8332,0
GMT,D,20210521,000000,14.7,14.7,14.3,14.58,8721,0
GMT,D,20210524,000000,14.3,14.68,13.64,14.08,16270,0
GMT,D,20210525,000000,14,14.566,13.65,13.7,10988,0
GMT,D,20210526,000000,13.96,13.96,13.2,13.95,14550,0
GMT,D,20210527,000000,14,14.66,13.6,14.488,13067,0
GMT,D,20210528,000000,14.38,14.4,13.772,14.25,13118,0
GMT,D,20210531,000000,14.01,14.298,13.9,14.09,6377,0
GMT,D,20210601,000000,14.1,14.23,13.92,14,4805,0
GMT,D,20210602,000000,14,14.1,13.82,14.05,6284,0
GMT,D,20210604,000000,13.97,14,13.63,14,7106,0
GMT,D,20210607,000000,14,14,13.5,13.99,8857,0
GMT,D,20210608,000000,14.1,14.1,13.71,13.98,8927,0
GMT,D,20210609,000000,13.97,14.1,13.8,14,6706,0
GMT,D,20210610,000000,14.16,14.16,13.85,13.85,1893,0
GMT,D,20210611,000000,13.85,14.06,13.71,13.85,8294,0
GMT,D,20210614,000000,14.04,14.04,13.6,13.8,6699,0
GMT,D,20210615,000000,13.8,13.8,13.41,13.44,8911,0
GMT,D,20210616,000000,13.41,14.98,12.9,13.794,20383,0
GMT,D,20210617,000000,13.98,13.98,13.3,13.55,4874,0
GMT,D,20210618,000000,13.7,13.7,13.152,13.69,6394,0
GMT,D,20210621,000000,13.69,13.69,13.3,13.31,9093,0
GMT,D,20210622,000000,13.47,13.7,13.002,13.1,14871,0
GMT,D,20210623,000000,13.05,13.49,13.05,13.378,1268,0
GMT,D,20210624,000000,13.49,13.49,13.05,13.446,1912,0
GMT,D,20210625,000000,13.4,13.4,12.42,13.098,20514,0
GMT,D,20210628,000000,13.1,13.1,12.8,13,5652,0
GMT,D,20210629,000000,13.1,13.1,12.85,12.95,7021,0
GMT,D,20210630,000000,13.1,13.1,12.6,12.62,2719,0
GMT,D,20210701,000000,12.99,12.99,12.62,12.98,841,0
GMT,D,20210702,000000,12.97,12.98,12.62,12.682,2861,0
GMT,D,20210705,000000,12.8,12.8,12.522,12.536,6904,0
GMT,D,20210706,000000,12.6,12.7,12.522,12.6,4031,0
